TYPE,WEIGHT_G,LENGTH_CM,CIRCUM_CM,CIRCUM_ACTUAL_CM,RODENT,PICTURE_ID,ADJUSTED_ID,MERGED ID,ONEKK_LENGTH,ONEKK_WIDTH,ONEKK_AREA_MM2
BEAUREGARD G 2020  – BLACK BOX GENEVA,231.2,23,20,14.5,,B33,B33,B33,247.6932624,56.04278273,9533.884023
BEAUREGARD G 2020  – BLACK BOX GENEVA,73.6,16,14,8.5,,B34,B34,B34,166.2681044,32.1310411,3940.672353
BEAUREGARD G 2020  – BLACK BOX GENEVA,126.6,16,17.5,12,,B35,B35,B35,183.7118177,48.70706801,5667.09199
BEAUREGARD G 2020  – BLACK BOX GENEVA,49.7,8,15,9.5,,B36,B36,B36,142.2254346,56.63248211,2708.94966
BEAUREGARD G 2020  – BLACK BOX GENEVA",51.3,13,15.5,10,,B37,B37,B37,198.7007623,32.55168179,3159.725291
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,257.2,18.5,22,16.5,,E1,E01,E01,195.4623568,66.0846685,9463.317565
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,894,20,39,33.5,,E2,E02,E02,280.8127344,137.6987885,22972.8786
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,598,21,30.5,25,,E3,E03,E03,245.325178,103.6290891,16910.29964
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,361.7,20,25,19.5,,E4,E04,E04,304.0652132,93.96782058,11543.41723
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,216.9,13,22,16.5,,E5,E05,E05,167.786648,100.8547976,9229.684092
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,267.4,23,20,14.5,,E6,E06,E06,247.2613952,66.99361001,10092.41327
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,289.7,20,22,16.5,,E7,E07,E07,215.7133079,66.34287834,10195.18989
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,158.2,19.5,18,12.5,,E8,E08,E08,216.545491,57.28842361,6778.619228
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,398.6,23,23.5,18,,E9,E09,E09,302.6702063,90.33217687,13567.83256
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,349,16,25,19.5,,E10,E10,E10,173.6475275,87.13854209,10452.71186
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,601.7,24,27,21.5,,E11,E11,E11,272.4977958,111.417898,19211.7287
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,67.6,17,15.5,10,,E12,E12,E12,183.3858394,47.86316314,3795.343744
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,146.8,21,17.5,12,,E13,E13,E13,230.1223241,44.63616919,6862.743843
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,121.9,14.5,17,11.5,,E14,E14,E14,170.62846,47.53750754,5481.305384
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,195.7,17,20,14.5,,E15,E15,E15,203.4321273,70.04540006,7789.663446
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,63.2,11,16.5,11,,E16,E16,E16,170.3724071,47.11607265,3313.909328
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,128.5,10,20.5,15,,E17,E17,E17,109.455051,60.89718248,4611.623349
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,104.2,19,15,9.5,,E18,E18,E18,211.0915183,42.18801501,5479.334987
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,86.6,13,17,11.5,,E19,E19,E19,140.2851029,45.55098671,4175.631164
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,98.7,14.5,16,10.5,,E20,E20,E20,152.6629579,56.95396012,4913.998018
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,198.3,18,20,14.5,,E21,E21,E21,197.040373,57.76333896,7899.69734
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,148.3,14,20.5,15,,E22,E22,E22,218.1122931,97.33425132,5810.825825
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,96.3,16,16,10.5,,E23,E23,E23,171.544417,43.86867488,4579.05578
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,254.9,16,21.5,16,,E24,E24,E24,178.4752111,62.58105783,8448.486995
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,160,18,17.5,12,,E25,E25,E25,191.4444782,51.30886755,6704.356788
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,61.5,13,14,8.5,,E26,E26,E26,154.1576536,32.91531177,3472.024953
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,100.7,21,14,8.5,,E27,E27,E27,236.8973575,49.86247482,5903.96108
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,53.5,12,16,10.5,,E28,E28,E28,181.3170067,37.50393618,3105.242472
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,43.5,17,12.5,7,,E29,E29,E29,189.2111585,40.0286496,3508.190907
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,80.6,13,16,10.5,,E30,E30,E30,144.1820293,47.69319376,4156.364344
KOTOBUKI,172.7,19,19,13.5,,K1,K01,K01,203.8983055,50.77115705,7185.744613
KOTOBUKI,174.6,20,18,12.5,,K2,K02,K02,217.8890119,50.57604388,7918.798558
KOTOBUKI,58.3,15,14,8.5,,K3,K03,K03,171.7423355,32.50494022,3733.409593
KOTOBUKI,84.5,20,13,7.5,,K4,K04,K04,213.157747,54.61139673,5301.163305
KOTOBUKI,168.1,20,18,12.5,,K5,K05,K05,216.081413,47.38511064,7409.199631
KOTOBUKI,87.3,20,14.5,9,,K6,K06,K06,212.6948892,49.32285836,5117.905947
KOTOBUKI,93.6,24,13,7.5,,K7,K07,K07,251.8061974,64.622613,6091.235866
KOTOBUKI,119.4,15,18,12.5,slightly damaged,K8,K08,K08,163.3988885,48.87548215,5328.000814
KOTOBUKI,159.8,17,18,12.5,,K9,K09,K09,200.414974,57.17420343,7286.687984
KOTOBUKI,98.4,27,13,7.5,,K10,K10,K10,288.3825623,52.23950887,6657.712368
KOTOBUKI,52,13.5,12,6.5,,K11,K11,K11,147.6987993,43.64782796,3488.439609
KOTOBUKI,85.3,18.5,14.5,9,,K12,K12,K12,192.1517021,48.67426886,4861.215515
KOTOBUKI,45.5,15,12.5,7,,K13,K13,K13,166.0128319,39.72092167,3329.344017
KOTOBUKI,218.7,20,20,14.5,,K14,K14,K14,216.5867428,56.47247124,8787.190076
KOTOBUKI,107.9,21,14,8.5,,K15,K15,K15,220.1642009,46.42053129,6013.863748
KOTOBUKI,151.6,14.5,19,13.5,slightly damaged,K16,K16,K16,150.1278037,64.51647661,6205.329446
KOTOBUKI,104.3,21,14.5,9,,K17,K17,K17,219.8458243,41.38382801,5702.372713
KOTOBUKI,134.7,21,15.5,10,,K18,K18,K18,217.9260543,60.17700332,6739.586717
KOTOBUKI,56.2,13,14.5,9,slightly damaged,K19,K19,K19,141.4340562,33.76429221,3263.247876
KOTOBUKI,146.7,21,16.5,11,,K20,K20,K20,242.1454118,64.66590289,7730.466449
KOTOBUKI,98.4,14,16.5,11,,K21,K21,K21,160.2729593,45.16439262,4743.726797
KOTOBUKI,92,12.5,16,10.5,,K22,K22,K22,138.0506597,44.7326335,4332.961854
KOTOBUKI,145.1,18,19,13.5,,K23,K23,K23,202.7965317,53.62910407,6701.188176
KOTOBUKI,208.3,22,17,11.5,,K24,K24,K24,245.7579229,66.58567975,9347.381304
KOTOBUKI,177.3,22,17,11.5,,K25,K25,K25,249.8697304,56.85097651,8462.944973
KOTOBUKI,84.6,13,15.5,10,,K26,K26,K26,140.6048941,38.46344133,4232.459548
KOTOBUKI,81,10.5,16,10.5,,K27,K27,K27,111.8637185,54.82927585,4002.074695
KOTOBUKI,75.5,15,15,9.5,,K28,K28,K28,161.0756245,46.53668952,4175.523469
KOTOBUKI,160.5,22,17,11.5,,K29,K29,K29,251.1997563,57.14296188,8074.568278
KOTOBUKI,74.8,13,16,10.5,slightly damaged,K30,K30,K30,140.6019327,45.99518493,3828.389296
KOTOBUKI,83.1,23.5,13,7.5,,K31,K31,K31,254.1554834,34.80510639,5269.727928
KOTOBUKI,149.2,18,19,13.5,,K32,K32,K32,203.6236509,72.74346178,7304.7762
KOTOBUKI,137.9,18,18.5,13,slightly damaged,K33,K33,K33,196.8403104,54.35078579,6303.026472
KOTOBUKI,153.7,17,18,12.5,,K34,K34,K34,183.4778908,55.79057502,6551.562156
KOTOBUKI,122,23.5,15,9.5,slightly damaged,K35,K35,K35,247.6716372,55.49167589,6839.364239
KOTOBUKI,59.6,12.5,14,8.5,,K36,K36,K36,131.9456109,35.85275187,3201.739114
KOTOBUKI,64.6,15,14,8.5,slightly damaged,K37,K37,K37,162.1215927,35.64791683,3789.008056
KOTOBUKI,54.2,12,14,8.5,slightly damaged,K38,K38,K38,131.755012,31.38743935,3228.880626
KOTOBUKI,153.7,27,13,7.5,,K39,K39,K39,303.3874549,50.90169875,8863.573826
KOTOBUKI,115.4,16,16,10.5,,K40,K40,K40,174.2274984,68.14214098,5809.324472
KOTOBUKI,62.4,14,13.5,8,,K41,K41,K41,150.2528108,39.50964854,3582.12556
KOTOBUKI,111.4,12,16.5,11,,K42,K42,K42,139.7574587,58.49035697,5476.573178
KOTOBUKI,88.2,15,15.5,10,,K43,K43,K43,160.3296423,39.22476217,4391.400928
KOTOBUKI,60.9,14,13.5,8,,K44,K44,K44,152.1259395,42.89378999,3708.679407
